pageid,fileNameAbsolut,fileNameRelative,fileLastModifiedTime,fileCreationTime,fileSizeInBytes,level,keywords,categories,description,categoriesList,section,sectionPathAbsoulte,sectionPathRelative,webadress,vorgelagerteSectionPage,nachgelagerteSectionPage,sectionIndex
07112020200718-PerformanceMeasureBusinessObjectives,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.md,/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.md,Sat Nov  7 11:30:22 2020,Thu Nov  5 10:07:46 2020,486,5,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/06_PerformanceMeasureBusinesObjective.html,07112020200718-PerformanceMeasure,07112020200718-MinmumPerformance,https://jhc90.github.io/index.html
07112020200718-MinmumPerformance,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.md,/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.md,Sat Nov  7 11:31:02 2020,Thu Nov  5 10:07:46 2020,379,6,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/07_MinimumPerformnace.html,07112020200718-PerformanceMeasureBusinessObjectives,07112020200718-ComparableProblems,https://jhc90.github.io/index.html
07112020200718-ComparableProblems,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.md,/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.md,Sat Nov  7 11:30:59 2020,Thu Nov  5 10:07:47 2020,515,7,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/08_ComparableProblems.html,07112020200718-MinmumPerformance,07112020200718-HumanExpertise,https://jhc90.github.io/index.html
07112020200718-HumanExpertise,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.md,/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.md,Sat Nov  7 11:30:55 2020,Thu Nov  5 10:07:47 2020,353,8,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/09_HumanExpertise.html,07112020200718-ComparableProblems,07112020200718-CurrentSolutions,https://jhc90.github.io/index.html
07112020200718-CurrentSolutions,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.md,/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.md,Sat Nov  7 11:30:51 2020,Thu Nov  5 10:07:48 2020,315,9,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/10_CurrentSolutions.html,07112020200718-HumanExpertise,07112020200718-ListAssumptions,https://jhc90.github.io/index.html
07112020200718-ListAssumptions,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/11_List_Assumptions.md,/Docus/DataScience/Checklist/01-BigPicture/11_List_Assumptions.md,Sat Nov  7 11:30:48 2020,Thu Nov  5 10:07:48 2020,507,10,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/11_List_Assumptions.html,07112020200718-CurrentSolutions,07112020200718-VerifyAssumptions,https://jhc90.github.io/index.html
07112020200718-VerifyAssumptions,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/12-VerifyAssumptions.md,/Docus/DataScience/Checklist/01-BigPicture/12-VerifyAssumptions.md,Sat Nov  7 11:30:44 2020,Thu Nov  5 10:07:44 2020,443,11,"['Checkliste', ' Business-Objective']",[''],Hier geht es darum Business-Objective erstmalig zu beschreiben,"['Docus', 'DataScience', 'Checklist', '01-BigPicture']",01-BigPicture,C:/DocTool/content/Docus/DataScience/Checklist/01-BigPicture/,/Docus/DataScience/Checklist/01-BigPicture/,https://jhc90.github.io/Docus/DataScience/Checklist/01-BigPicture/12-VerifyAssumptions.html,07112020200718-ListAssumptions,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/01_ListDataNeed.md,/Docus/DataScience/Checklist/02_GetTheData/01_ListDataNeed.md,Thu Nov  5 10:13:16 2020,Thu Nov  5 10:05:05 2020,2,0,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/01_ListDataNeed.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/02_FindAndDocumentWhereToGetData.md,/Docus/DataScience/Checklist/02_GetTheData/02_FindAndDocumentWhereToGetData.md,Thu Nov  5 10:13:49 2020,Thu Nov  5 10:05:21 2020,2,1,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/02_FindAndDocumentWhereToGetData.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/03_CheckSpaceForStorage.md,/Docus/DataScience/Checklist/02_GetTheData/03_CheckSpaceForStorage.md,Thu Nov  5 09:58:53 2020,Thu Nov  5 09:47:13 2020,256,2,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/03_CheckSpaceForStorage.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/04.Legal-Obligations.md,/Docus/DataScience/Checklist/02_GetTheData/04.Legal-Obligations.md,Thu Nov  5 09:48:12 2020,Thu Nov  5 09:47:17 2020,0,3,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/04.Legal-Obligations.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData copy.md,/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData copy.md,Thu Nov  5 10:13:22 2020,Thu Nov  5 10:05:04 2020,2,4,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData copy.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData.md,/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData.md,Thu Nov  5 10:13:24 2020,Thu Nov  5 09:47:17 2020,2,5,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/05_GetAccessToData.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/06_CreateWorkspace.md,/Docus/DataScience/Checklist/02_GetTheData/06_CreateWorkspace.md,Thu Nov  5 09:59:43 2020,Thu Nov  5 09:47:14 2020,129,6,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/06_CreateWorkspace.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/07_GetData.md,/Docus/DataScience/Checklist/02_GetTheData/07_GetData.md,Thu Nov  5 10:01:25 2020,Thu Nov  5 09:47:14 2020,221,7,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/07_GetData.html,,,https://jhc90.github.io/index.html
